,date,close
3685,2003-03-21,5300
3686,2003-03-20,5330
3687,2003-03-19,5300
3688,2003-03-18,5330
3689,2003-03-17,5000
3690,2003-03-14,5370
3691,2003-03-13,5290
3692,2003-03-12,5300
3693,2003-03-11,5170
3694,2003-03-10,5440
3695,2003-03-07,5410
3696,2003-03-06,5690
3697,2003-03-05,5800
3698,2003-03-04,5850
3699,2003-03-03,5900
3700,2003-02-28,6040
3701,2003-02-27,5990
3702,2003-02-26,5950
3703,2003-02-25,5740
3704,2003-02-24,5810
3705,2003-02-21,5810
3706,2003-02-20,5830
3707,2003-02-19,5910
3708,2003-02-18,6000
3709,2003-02-17,5900
3710,2003-02-14,5690
3711,2003-02-13,5780
3712,2003-02-12,5840
3713,2003-02-11,5860
3714,2003-02-10,5900
3715,2003-02-07,5990
3716,2003-02-06,5890
3717,2003-02-05,5860
3718,2003-02-04,5990
3719,2003-02-03,5890
3720,2003-01-30,6080
3721,2003-01-29,5970
3722,2003-01-28,5900
3723,2003-01-27,5950
3724,2003-01-24,6090
3725,2003-01-23,6200
3726,2003-01-22,6120
3727,2003-01-21,6360
3728,2003-01-20,6280
3729,2003-01-17,6440
3730,2003-01-16,6420
3731,2003-01-15,6370
3732,2003-01-14,6470
3733,2003-01-13,6350
3734,2003-01-10,6200
3735,2003-01-09,6270
3736,2003-01-08,6230
3737,2003-01-07,6350
3738,2003-01-06,6590
3739,2003-01-03,6570
3740,2003-01-02,6200
3741,2002-12-30,6200
3742,2002-12-27,6450
3743,2002-12-26,6680
3744,2002-12-24,6670
3745,2002-12-23,6800
3746,2002-12-20,7170
3747,2002-12-18,7180
3748,2002-12-17,7130
3749,2002-12-16,7120
3750,2002-12-13,7200
3751,2002-12-12,7240
3752,2002-12-11,7860
3753,2002-12-10,8120
3754,2002-12-09,7250
3755,2002-12-06,7150
3756,2002-12-05,7170
3757,2002-12-04,6930
3758,2002-12-03,6990
3759,2002-12-02,6840
3760,2002-11-29,6860
3761,2002-11-28,6900
3762,2002-11-27,6880
3763,2002-11-26,7000
3764,2002-11-25,7350
3765,2002-11-22,7270
3766,2002-11-21,7110
3767,2002-11-20,7160
3768,2002-11-19,7040
